Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
AUDIO,PJ-3420-A-SMT,5998.57mil,1674.61mil,6262.74mil,1675mil,6179.67mil,1812.4mil,T,180,PJ-3420-A-SMT
C2,CAPAE830X1050N,5524.99mil,3600mil,5524.99mil,3599.99mil,5524.99mil,3734.87mil,T,270,CAPAE830X1050N
FILL_VALVE,1727010,2699.99mil,3124.99mil,2699.99mil,3049.99mil,2699.99mil,3049.99mil,T,90,1727010
FILL_VALVE_BTN,1727010,4324.99mil,2090mil,4249.99mil,2090mil,4249.99mil,2090mil,T,0,1727010
FLUSH_BTN,1727010,3424.99mil,2090mil,3349.99mil,2090mil,3349.99mil,2090mil,T,0,1727010
J3,61200621621,25mil,1625mil,25mil,1625mil,75mil,1525mil,T,90,61200621621
JP1,1X08,3399.99mil,2849.99mil,3399.99mil,2849.99mil,3399.99mil,3199.99mil,T,270,PINHD-1X8
JP2,1X08,3899.99mil,2851.99mil,3899.99mil,2851.99mil,3899.99mil,3201.99mil,T,270,PINHD-1X8
LED,SHDR16W56P254_2X8_2782X850X950,400mil,2200mil,50mil,2150mil,50mil,2150mil,T,0,HIF3FC-16PA-2.54DSA_71_
LICK_IN,LINX_CONBNC002,5799.99mil,2974.99mil,5899.99mil,2974.99mil,5699.99mil,2974.99mil,T,90,CONBNC002
LICK_OUT,LINX_CONBNC002,5799.99mil,2225mil,5899.99mil,2225mil,5699.99mil,2225mil,T,90,CONBNC002
MOD1,HC-RJ45-5JA-1-4,200mil,925mil,200mil,875mil,340mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD2,HC-RJ45-5JA-1-4,1000mil,925mil,1000mil,875mil,1140mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD3,HC-RJ45-5JA-1-4,1800mil,925mil,1800mil,875mil,1940mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD4,HC-RJ45-5JA-1-4,2600mil,925mil,2599.99mil,875mil,2739.99mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD5,HC-RJ45-5JA-1-4,3400mil,925mil,3399.99mil,875mil,3539.99mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD6,HC-RJ45-5JA-1-4,4200mil,925mil,4199.99mil,875mil,4339.99mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD7,HC-RJ45-5JA-1-4,4999.99mil,925mil,4999.99mil,875mil,5139.99mil,890mil,T,0,HC-RJ45-5JA-1-4
MOD8,HC-RJ45-5JA-1-4,5799.99mil,925mil,5799.99mil,875mil,5939.99mil,890mil,T,0,HC-RJ45-5JA-1-4
POWER,DC-005-2.5A-2.0,5884.64mil,3684.44mil,6299.99mil,3774.99mil,6004.71mil,3593.89mil,T,180,DC-005-2.5A-2.0
PUMP,B4B-XH-A,4324.99mil,2847.63mil,4324.99mil,2699.99mil,4324.99mil,2699.99mil,T,270,B4B-XH-A
PUMP_CTL,SHDR16W56P254_2X8_2782X850X950,400mil,3542.44mil,50mil,3492.44mil,50mil,3492.44mil,T,0,HIF3FC-16PA-2.54DSA_71_
R1,RESAD724W46L381D178B,3499.99mil,1690mil,3499.99mil,1690mil,3499.99mil,1547.48mil,T,90,22kΩ
R2,RESAD724W46L381D178B,3949.99mil,1690mil,3949.99mil,1690mil,3949.99mil,1547.48mil,T,90,22kΩ
R4,RESAD724W46L381D178B,3699.99mil,1690mil,3699.99mil,1690mil,3699.99mil,1547.48mil,T,90,22kΩ
R5,RESAD724W46L381D178B,4149.99mil,1690mil,4149.99mil,1690mil,4149.99mil,1547.48mil,T,90,22kΩ
R6,RESAD724W46L381D178B,4399.99mil,1690mil,4399.99mil,1690mil,4399.99mil,1547.48mil,T,90,22kΩ
REV_BTN,1727010,3874.99mil,2090mil,3799.99mil,2090mil,3799.99mil,2090mil,T,0,1727010
SD,SHDR16W56P254_2X8_2782X850X950,400mil,2649.99mil,50mil,2599.99mil,50mil,2599.99mil,T,0,HIF3FC-16PA-2.54DSA_71_
U3,D14,2250mil,1700mil,2250mil,1700mil,2100mil,1603mil,T,0,SN74HCT32DRD14
U4,D14,2250mil,2100mil,2250mil,2100mil,2100mil,2003mil,T,0,SN74HCT32DRD14
U5,D0016A_N,1800mil,1700mil,1800mil,1700mil,1625mil,1592.71mil,T,0,ULN2003ADRD0016A_N
U6,D0016A_N,1800mil,2100mil,1800mil,2100mil,1625mil,1992.71mil,T,0,ULN2003ADRD0016A_N
U$12,X6511WVS-13H-C60D48R2,4945.86mil,2550mil,4874.99mil,1950mil,4874.99mil,1950mil,T,270,X6511WVS-13H-C60D48R2
VALVE1,1727010,1300mil,2724.99mil,1300mil,2649.99mil,1300mil,2649.99mil,T,90,1727010
VALVE2,1727010,1700mil,2724.99mil,1700mil,2649.99mil,1700mil,2649.99mil,T,90,1727010
VALVE3,1727010,2100mil,2724.99mil,2100mil,2649.99mil,2100mil,2649.99mil,T,90,1727010
VALVE4,1727010,2499.99mil,2724.99mil,2499.99mil,2649.99mil,2499.99mil,2649.99mil,T,90,1727010
VALVE5,1727010,2899.99mil,2724.99mil,2899.99mil,2649.99mil,2899.99mil,2649.99mil,T,90,1727010
VALVE6,1727010,1500mil,3124.99mil,1500mil,3049.99mil,1500mil,3049.99mil,T,90,1727010
VALVE7,1727010,1900mil,3124.99mil,1900mil,3049.99mil,1900mil,3049.99mil,T,90,1727010
VALVE8,1727010,2300mil,3124.99mil,2300mil,3049.99mil,2300mil,3049.99mil,T,90,1727010
VALVE_CTL,SHDR16W56P254_2X8_2782X850X950,400mil,3090.16mil,50mil,3040.16mil,50mil,3040.16mil,T,0,HIF3FC-16PA-2.54DSA_71_
