Comment,Designator,Footprint,JLCPCB Part #
0.1µF,"C3, C4, C5, C10, C12, C13, C14, C15, C16",CAPC1005X60,C361203
100k½,"R7, R8, R9, R10, R11, R12, R13, R14",RESAD724W46L381D178B,C58687
100k½,"R3, R37",RESC1608X60,C427284
100µF,C2,CAPAE1030X1050N,C2843277
100µF,C1,CAPC3225X135,C92794
10k½,"R19, R20, R21, R22, R23, R24, R28, R29, R30, R31",RESC1608X60,C2139679
10µF,"C9, C11",CAPC1005X60,C841046
1727010,PWR,1727010,C89123
1984963,"FILL_VALVE, VALVE1, VALVE2, VALVE3, VALVE4, VALVE5, VALVE6, VALVE7, VALVE8",PHOENIX_1984963,
1µF,"C6, C7, C8",CAPC1005X60,C3015153
22k½,"R1, R2, R4, R5, R6, R15, R16, R17, R18, R26, R32, R33, R34, R35, R36",RESC1608X60,C209074
50½,"R25, R27",RESC1608X60,C830222
B4B-XH-A,PUMP,B4B-XH-A,C594232
BSS138,"Q3, Q4",SOT95P240X111-3N,C78284
CONBNC002,"CLOCK_IN, LICK_IN, LICK_OUT",LINX_CONBNC002,C2837588
DC-005-2.5A-2.0,POWER,DC-005-2.5A-2.0,C319099
HC-RJ45-5JA-1-4,"MOD1, MOD2, MOD3, MOD4, MOD5, MOD6, MOD7, MOD8",HC-RJ45-5JA-1-4,C3000174
MCP23017-E/SO-SOIC,"IC1, IC2",SOIC127P1030X265-28,C47023
PINHD-1X3/90,JP3,1X03/90,C3327863
PINHD-1X8,"JP1, JP2",1X08,C5224027
PJ-3420-A-SMT,AUDIO,PJ-3420-A-SMT,C319102
PRT-16763,RPI_CONN,RHDR40W64P254_2X20_5130X500X16,
SC0915,U2,MODULE_SC0915,C7203002
SKHHQYA010,"U$1, U$2, U$3",SKHHQYA010,C470257
SN74HCS244QPWRQ1TSSOP20_4P4X6P5_TEX,U1,TSSOP20_4P4X6P5_TEX,C2864779
SN74HCT32DRD14,"U3, U4",D14,C6781
SN74LXC1T45DBVRSOT-23-6_DBV_TEX,"U7, U8",SOT-23-6_DBV_TEX,C5217891
ULN2003ADRD0016A_N,"U5, U6",D0016A_N,C7512
