Designator,Mid X,Mid Y,Layer,Rotation
C3,52.555,61.013,TOP,270
C4,61.853,58.551,TOP,270
C5,33.378,59.997,TOP,270
C10,21.44,38.026,TOP,180
C12,57.254,39.931,TOP,0
C13,43.792,67.236,TOP,90
C14,46.459,67.236,TOP,90
C15,51.435,67.183,TOP,90
C16,54.102,67.183,TOP,90
R3,40.109,67.49,TOP,0
R37,49.841,64.493,TOP,90
C2,108.405,76.398,TOP,270
C1,123.675,56.822,TOP,270
R19,43.551,44.249,TOP,90
R20,43.538,46.831,TOP,90
R21,43.538,41.455,TOP,90
R22,31.219,24.31,TOP,90
R23,28.302,24.098,TOP,90
R24,34.144,24.396,TOP,90
R28,114.353,57.808,TOP,90
R29,119.835,61.953,TOP,270
R30,119.832,57.762,TOP,90
R31,114.277,61.775,TOP,270
C9,21.44,39.042,TOP,180
C11,57.254,40.82,TOP,0
C6,53.317,61.013,TOP,270
C7,62.742,58.551,TOP,270
C8,34.267,59.997,TOP,270
R1,103.028,25.893,TOP,270
R2,92.614,25.766,TOP,270
R4,103.028,22.972,TOP,90
R5,92.614,22.845,TOP,90
R6,81.557,23.823,TOP,270
R15,36.156,50.218,TOP,0
R16,36.299,51.488,TOP,0
R17,36.299,52.758,TOP,0
R18,36.299,53.859,TOP,0
R26,48.059,64.488,TOP,90
R32,36.807,62.918,TOP,0
R33,36.807,64.188,TOP,0
R34,36.807,65.585,TOP,0
R35,36.807,66.855,TOP,0
R36,55.753,65.024,TOP,270
R25,71.681,67.968,TOP,180
R27,49.761,71.681,TOP,90
Q3,117.071,57.711,TOP,0
Q4,117.071,61.775,TOP,0
A0,41.176,46.795,TOP,0
A1,41.248,44.376,TOP,0
A2,41.171,41.938,TOP,0
B0,26.901,28.349,TOP,90
B1,29.822,28.374,TOP,90
B2,32.87,28.374,TOP,90
IC1,50.528,39.296,TOP,180
IC2,28.171,39.55,TOP,0
AUDIO,24.996,84.141,TOP,270
U2,124.976,27.465,TOP,180
U1,27.663,57.584,TOP,0
U3,47.856,57.33,TOP,0
U4,57.154,55.249,TOP,0
U7,52.832,65.024,TOP,0
U8,45.212,64.897,TOP,0
U5,65.282,45.5,TOP,0
U6,65.382,33.2,TOP,0
R7,14.836,81.587,TOP,0
R8,14.963,59.997,TOP,0
R9,14.963,39.677,TOP,0
R10,3.025,15.733,TOP,90
R11,23.239,15.822,TOP,90
R12,43.665,15.801,TOP,90
R13,63.985,15.928,TOP,90
R14,84.305,15.928,TOP,90
PWR,121.643,79.809,TOP,180
FILL_VALVE,93.676,28.736,TOP,0
VALVE1,71.705,54.39,TOP,0
VALVE2,82.5,54.39,TOP,0
VALVE3,93.422,54.263,TOP,0
VALVE4,71.578,41.69,TOP,0
VALVE5,82.5,41.69,TOP,0
VALVE6,93.422,41.69,TOP,0
VALVE7,71.578,28.736,TOP,0
VALVE8,82.754,28.736,TOP,0
PUMP,129.487,79.987,TOP,0
CLOCK_IN,61.191,75.11,TOP,180
LICK_IN,39.347,75.11,TOP,180
LICK_OUT,82.4,75.11,TOP,180
POWER,92.941,87.937,TOP,270
MOD1,8.105,70.157,TOP,270
MOD2,8.105,49.837,TOP,270
MOD3,8.105,29.517,TOP,270
MOD4,13.185,9.197,TOP,0
MOD5,33.505,9.197,TOP,0
MOD6,53.825,9.197,TOP,0
MOD7,74.145,9.197,TOP,0
MOD8,94.465,9.197,TOP,0
JP3,65.682,60.927,TOP,180
JP1,139.677,65.839,TOP,90
JP2,126.977,65.839,TOP,90
U$1,94.646,25.699,TOP,0
U$2,83.978,25.839,TOP,0
U$3,72.494,25.739,TOP,0
RPI_CONN,109.955,57.823,BOT,270
