Qty,Comment,Designator,Footprint,JLCPCB Part #
14,0.1µF,"C3, C4, C5, C10, C12, C13, C14, C15, C16, C17, C20, C21, C22, C23",CAPC1005X60,C361203
10,100kΩ,"R3, R7, R8, R9, R10, R11, R12, R13, R14, R37",RESC1608X60,C2139679
1,100µF,C2,CAPAE1030X1050N,C2843277
1,100µF,C1,CAPC3225X135,C92794
10,10kΩ,"R19, R20, R21, R22, R23, R24, R28, R29, R30, R31",RESC1608X60,C2139679
4,10µF,"C9, C11, C18, C19",CAPC1005X60,C15525
1,1727010,PWR,1727010,C89123
9,1984963,"FILL_VALVE, VALVE1, VALVE2, VALVE3, VALVE4, VALVE5, VALVE6, VALVE7, VALVE8",PHOENIX_1984963,
3,1µF,"C6, C7, C8",CAPC1005X60,C3015153
15,22kΩ,"R1, R2, R4, R5, R6, R15, R16, R17, R18, R26, R32, R33, R34, R35, R36",RESC1608X60,C209074
2,50Ω,"R25, R27",RESC1608X60,C830222
2,ADG1434YRUZRU_20_ADI-L,"U9, U10",RU_20_ADI-L,C408906
1,B4B-XH-A,PUMP,B4B-XH-A,C594232
2,BSS138,"Q3, Q4",SOT95P240X111-3N,C78284
3,CONBNC002,"CLOCK_IN, LICK_IN, LICK_OUT",LINX_CONBNC002,C2837588
1,DC-005-2.5A-2.0,POWER,DC-005-2.5A-2.0,C319099
8,HC-RJ45-5JA-1-4,"MOD1, MOD2, MOD3, MOD4, MOD5, MOD6, MOD7, MOD8",HC-RJ45-5JA-1-4,C3000174
1,MAX1044ESA-T,U11,SOIC127P600X175-8N,C140450
2,MCP23017-E/SO-SOIC,"IC1, IC2",SOIC127P1030X265-28,C47023
1,PINHD-1X3,JP3,1X03,C3327863
2,PINHD-1X8,"JP1, JP2",1X08,C5224027
1,PJ-3420-A-SMT,AUDIO,PJ-3420-A-SMT,C319102
1,SC0915,U2,MODULE_SC0915,C7203002
3,SKHHQYA010,"FILL_BTN, FLUSH, REV",SKHHQYA010,C470257
1,SN74HCS244QPWRQ1TSSOP20_4P4X6P5_TEX,U1,TSSOP20_4P4X6P5_TEX,C2864779
2,SN74HCT32DRD14,"U3, U4",D14,C6781
2,SN74LXC1T45DBVRSOT-23-6_DBV_TEX,"U7, U8",SOT-23-6_DBV_TEX,C5217891
2,ULN2003ADRD0016A_N,"U5, U6",D0016A_N,C7512
